Date,actual,epidemic_actual,split,baseline,model_ep0,model_ep1,model_ep_actual
2023-03-03,9600.0,0.0,train,,,,
2023-03-04,9086.0,0.0,train,,,,
2023-03-05,9325.0,0.0,train,,,,
2023-03-06,8852.0,0.0,train,,,,
2023-03-07,9782.0,0.0,train,,,,
2023-03-08,9243.0,0.0,train,,,,
2023-03-09,10336.0,0.0,train,,,,
2023-03-10,9537.0,0.0,train,,,,
2023-03-11,8904.0,0.0,train,,,,
2023-03-12,10536.0,0.0,train,,,,
2023-03-13,9512.0,0.0,train,,,,
2023-03-14,9746.0,0.0,train,,,,
2023-03-15,11036.0,0.0,train,,,,
2023-03-16,10821.0,0.0,train,,,,
2023-03-17,9595.0,0.0,train,,,,
2023-03-18,9191.0,0.0,train,,,,
2023-03-19,9821.0,0.0,train,,,,
2023-03-20,9108.0,0.0,train,,,,
2023-03-21,9093.0,0.0,train,,,,
2023-03-22,10388.0,0.0,train,,,,
2023-03-23,9697.0,0.0,train,,,,
2023-03-24,10432.0,0.0,train,,,,
2023-03-25,10234.0,0.0,train,,,,
2023-03-26,8583.0,0.0,train,,,,
2023-03-27,9253.0,0.0,train,,,,
2023-03-28,9280.0,0.0,train,,,,
2023-03-29,9227.0,0.0,train,,,,
2023-03-30,8625.0,0.0,train,,,,
2023-03-31,9421.0,0.0,train,,,,
2023-04-01,9329.0,0.0,train,,,,
2023-04-02,9612.0,0.0,train,,,,
2023-04-03,8918.0,0.0,train,,,,
2023-04-04,8631.0,0.0,train,,,,
2023-04-05,9243.0,0.0,train,,,,
2023-04-06,9243.0,0.0,train,,,,
2023-04-07,9577.0,0.0,train,,,,
2023-04-08,9558.0,0.0,train,,,,
2023-04-09,9419.0,0.0,train,,,,
2023-04-10,10251.0,0.0,train,,,,
2023-04-11,9241.0,0.0,train,,,,
2023-04-12,5507.0,1.0,train,,,,
2023-04-13,6219.0,1.0,train,,,,
2023-04-14,5466.0,1.0,train,,,,
2023-04-15,6159.0,1.0,train,,,,
2023-04-16,6321.0,1.0,train,,,,
2023-04-17,6153.0,1.0,train,,,,
2023-04-18,5466.0,1.0,train,,,,
2023-04-19,5760.0,1.0,train,,,,
2023-04-20,6360.0,1.0,train,,,,
2023-04-21,6143.0,1.0,train,,,,
2023-04-22,5527.0,1.0,train,,,,
2023-04-23,6931.0,1.0,train,,,,
2023-04-24,6240.0,1.0,train,,,,
2023-04-25,6227.0,1.0,train,,,,
2023-04-26,6135.0,1.0,train,,,,
2023-04-27,5399.0,1.0,train,,,,
2023-04-28,5768.0,1.0,train,,,,
2023-04-29,5917.0,1.0,train,,,,
2023-04-30,5446.0,1.0,train,,,,
2023-05-01,5932.0,1.0,train,,,,
2023-05-02,6703.0,1.0,train,,,,
2023-05-03,5336.0,1.0,train,,,,
2023-05-04,6385.0,1.0,train,,,,
2023-05-05,5859.0,1.0,train,,,,
2023-05-06,6329.0,1.0,train,,,,
2023-05-07,6416.0,1.0,train,,,,
2023-05-08,6477.0,1.0,train,,,,
2023-05-09,5585.0,1.0,train,,,,
2023-05-10,5965.0,1.0,train,,,,
2023-05-11,6256.0,1.0,train,,,,
2023-05-12,6055.0,1.0,train,,,,
2023-05-13,8890.0,0.0,train,,,,
2023-05-14,8947.0,0.0,train,,,,
2023-05-15,9205.0,0.0,train,,,,
2023-05-16,9957.0,0.0,train,,,,
2023-05-17,10185.0,0.0,train,,,,
2023-05-18,10170.0,0.0,train,,,,
2023-05-19,10065.0,0.0,train,,,,
2023-05-20,8643.0,0.0,train,,,,
2023-05-21,10317.0,0.0,train,,,,
2023-05-22,9431.0,0.0,train,,,,
2023-05-23,9014.0,0.0,train,,,,
2023-05-24,9599.0,0.0,train,,,,
2023-05-25,9537.0,0.0,train,,,,
2023-05-26,10167.0,0.0,train,,,,
2023-05-27,9190.0,0.0,train,,,,
2023-05-28,9434.0,0.0,train,,,,
2023-05-29,9153.0,0.0,train,,,,
